infinitiv,form,example,verb,english
backen,Präteritum 3. Pers.,Er …,backte,bake
backen,Partizip II,Er hat/ist …,gebacken,bake
backen,Präsens 2. Pers.,Du …,backst,bake
backen,Konjunktiv II 3. Pers.,Wenn er doch …,backte,bake
backen,Präteritum 3. Pers.,Er …,buk,bake
backen,Präsens 2. Pers.,Du …,bäckst,bake
backen,Konjunktiv II 3. Pers.,Wenn er doch …,büke,bake
befehlen,Präteritum 3. Pers.,Er …,befahl,command/order (sth.)
befehlen,Partizip II,Er hat/ist …,befohlen,command/order (sth.)
befehlen,Präsens 2. Pers.,Du …,befiehlst,command/order (sth.)
befehlen,Konjunktiv II 3. Pers.,Wenn er doch …,beföhle,command/order (sth.)
beginnen,Präteritum 3. Pers.,Er …,begann,start
beginnen,Partizip II,Er hat/ist …,begonnen,start
beginnen,Präsens 2. Pers.,Du …,beginnst,start
beginnen,Konjunktiv II 3. Pers.,Wenn er doch …,begönne,start
beissen,Präteritum 3. Pers.,Er …,biss,bite
beissen,Partizip II,Er hat/ist …,gebissen,bite
beissen,Präsens 2. Pers.,Du …,beisst,bite
beissen,Konjunktiv II 3. Pers.,Wenn er doch …,bisse,bite
beissen,Präsens 2. Pers.,Du …,beissest,bite
bellen,Präteritum 3. Pers.,Er …,bellte,bark
bellen,Partizip II,Er hat/ist …,gebellt,bark
bellen,Präsens 3. Pers.,Er …,bellt,bark
bellen,Konjunktiv II 3. Pers.,Wenn er doch …,bellte,bark
bergen,Präteritum 3. Pers.,Er …,barg,salvage
bergen,Partizip II,Er hat/ist …,geborgen,salvage
bergen,Präsens 2. Pers.,Du …,birgst,salvage
bergen,Konjunktiv II 3. Pers.,Wenn er doch …,bärge,salvage
bersten,Präteritum 3. Pers.,Er …,barst,burst
bersten,Partizip II,Er hat/ist …,geborsten,burst
bersten,Präsens 2. Pers.,Du …,birst,burst
bersten,Konjunktiv II 3. Pers.,Wenn er doch …,bärste,burst
beten,Präteritum 3. Pers.,Er …,betete,pray
beten,Partizip II,Er hat/ist …,gebetet,pray
beten,Präsens 2. Pers.,Du …,betest,pray
beten,Konjunktiv II 3. Pers.,Wenn er doch …,betete,pray
bewegen (veranlassen),Präteritum 3. Pers.,Er …,bewog,induce/provoke
bewegen (veranlassen),Partizip II,Er hat/ist …,bewogen,induce/provoke
bewegen (veranlassen),Präsens 2. Pers.,Du …,bewegst,induce/provoke
bewegen (veranlassen),Konjunktiv II 3. Pers.,Wenn er doch …,bewöge,induce/provoke
bewegen (Lage ändern),Präteritum 3. Pers.,Er …,bewegte,move sb. sth.
bewegen (Lage ändern),Partizip II,Er hat/ist …,bewegt,move sb. sth.
bewegen (Lage ändern),Präsens 2. Pers.,Du …,bewegst,move sb. sth.
bewegen (Lage ändern),Konjunktiv II 3. Pers.,Wenn er doch …,bewegte,move sb. sth.
biegen,Präteritum 3. Pers.,Er …,bog,bend sth.
biegen,Partizip II,Er hat/ist …,gebogen,bend sth.
biegen,Präsens 2. Pers.,Du …,biegst,bend sth.
biegen,Konjunktiv II 3. Pers.,Wenn er doch …,böge,bend sth.
bieten,Präteritum 3. Pers.,Er …,bot,provide
bieten,Partizip II,Er hat/ist …,geboten,provide
bieten,Präsens 2. Pers.,Du …,bietest,provide
bieten,Konjunktiv II 3. Pers.,Wenn er doch …,böte,provide
binden,Präteritum 3. Pers.,Er …,band,tie
binden,Partizip II,Er hat/ist …,gebunden,tie
binden,Präsens 2. Pers.,Du …,bindest,tie
binden,Konjunktiv II 3. Pers.,Wenn er doch …,bände,tie
bitten,Präteritum 3. Pers.,Er …,bat,request
bitten,Partizip II,Er hat/ist …,gebeten,request
bitten,Präsens 2. Pers.,Du …,bittest,request
bitten,Konjunktiv II 3. Pers.,Wenn er doch …,bäte,request
blasen,Präteritum 3. Pers.,Er …,blies,blow
blasen,Partizip II,Er hat/ist …,geblasen,blow
blasen,Präsens 2. Pers.,Du …,bläst,blow
blasen,Konjunktiv II 3. Pers.,Wenn er doch …,bliese,blow
bleiben,Präteritum 3. Pers.,Er …,blieb,remain
bleiben,Partizip II,Er hat/ist …,geblieben,remain
bleiben,Präsens 2. Pers.,Du …,bleibst,remain
bleiben,Konjunktiv II 3. Pers.,Wenn er doch …,bliebe,remain
bleichen (bleich werden),Präteritum 3. Pers.,Er …,blich,fade/whiten
bleichen (bleich werden),Partizip II,Er hat/ist …,geblichen,fade/whiten
bleichen (bleich werden),Präsens 2. Pers.,Du …,bleichst,fade/whiten
bleichen (bleich werden),Konjunktiv II 3. Pers.,Wenn er doch …,bliche,fade/whiten
bleichen (bleich machen),Präteritum 3. Pers.,Er …,bleichte,bleach/blanch
bleichen (bleich machen),Partizip II,Er hat/ist …,gebleicht,bleach/blanch
bleichen (bleich machen),Präsens 2. Pers.,Du …,bleichst,bleach/blanch
bleichen (bleich machen),Konjunktiv II 3. Pers.,Wenn er doch …,bleichte,bleach/blanch
braten,Präteritum 3. Pers.,Er …,briet,fry
braten,Partizip II,Er hat/ist …,gebraten,fry
braten,Präsens 2. Pers.,Du …,brätst,fry
braten,Konjunktiv II 3. Pers.,Wenn er doch …,briete,fry
brechen,Präteritum 3. Pers.,Er …,brach,break
brechen,Partizip II,Er hat/ist …,gebrochen,break
brechen,Präsens 2. Pers.,Du …,brichst,break
brechen,Konjunktiv II 3. Pers.,Wenn er doch …,bräche,break
brennen,Präteritum 3. Pers.,Er …,brannte,burn
brennen,Partizip II,Er hat/ist …,gebrannt,burn
brennen,Präsens 2. Pers.,Du …,brennst,burn
brennen,Konjunktiv II 3. Pers.,Wenn er doch …,brennte,burn
bringen,Präteritum 3. Pers.,Er …,brachte,bring sb. sth.
bringen,Partizip II,Er hat/ist …,gebracht,bring sb. sth.
bringen,Präsens 2. Pers.,Du …,bringst,bring sb. sth.
bringen,Konjunktiv II 3. Pers.,Wenn er doch …,brächte,bring sb. sth.
denken,Präteritum 3. Pers.,Er …,dachte,think
denken,Partizip II,Er hat/ist …,gedacht,think
denken,Präsens 2. Pers.,Du …,denkst,think
denken,Konjunktiv II 3. Pers.,Wenn er doch …,dächte,think
dreschen,Präteritum 3. Pers.,Er …,drosch,flail
dreschen,Partizip II,Er hat/ist …,gedroschen,flail
dreschen,Präsens 2. Pers.,Du …,drischst,flail
dreschen,Konjunktiv II 3. Pers.,Wenn er doch …,drösche,flail
dringen,Präteritum 3. Pers.,Er …,drang,get through
dringen,Partizip II,Er hat/ist …,gedrungen,get through
dringen,Präsens 2. Pers.,Du …,dringst,get through
dringen,Konjunktiv II 3. Pers.,Wenn er doch …,dränge,get through
dünken,Präteritum 3. Pers.,Er …,dünkte,think/seem
dünken,Partizip II,Er hat/ist …,gedünkt,think/seem
dünken,Präsens 2. Pers.,Du …,dünkst,think/seem
dünken,Konjunktiv II 3. Pers.,Wenn er doch …,dünkte,think/seem
dünken,Präteritum 3. Pers.,Er …,deuchte,think/seem
